Case,Date,Year,Type,Area,Location,Activity,Sex ,Age,Fatal,Time,Species 
1992.08.25,25/08/1992,1992,Unprovoked,South Australia,"Lipson Cove, Tumby Bay",Surfing,M,17,N,17h50,4 m white shark
1992.03.10,10/03/1992,1992,Unprovoked,Victoria,Point Lonsdale,Surfing,M,17,N,unknown,"Bronze whaler shark, 3 m"
1992.02.09,9/02/1992,1992,unknown,Tasmania,"Clifton Beach, southwest of Hobart",Surfing,M,19,N,19h30,unknown
1992.01.29.a,29/01/1992,1992,Unprovoked,New South Wales,Tweed Heads,Boogie boarding,M,19,N,20h00,"Bronze whaler shark, 2.3 m [7.5'] "
1991.11.00,1/11/1991,1991,Unprovoked,Western Australia,"Backbeach, Halls Head",Boogie boarding,M,14,N,unknown,"""small shark"""
1991.09.08,8/09/1991,1991,Unprovoked,South Australia,"Snapper Point, Aldinga Beach, Adelaide",Scuba diving,M,19,Y,15h00,4 m [13'] white shark
1991.08.30,30/08/1991,1991,Provoked,Queensland,"On board the Japanese longline trawler Fukuya No.38, 100 nm northeast of Brisbane",Finning the shark that bit him,M,36,N,Afternoon,"3 m [10'], 270- kg [595-lb] shark"
1991.03.03,3/03/1991,1991,Unprovoked,New South Wales,Bass Point,Scuba diving,M,18,N,unknown,"Grey nurse shark, 2 m"
1991.01.19,19/01/1991,1991,Unprovoked,Queensland,Mermaid Waters,Swimming,M,35,N,08h10,unknown
1991.01.09,9/01/1991,1991,Unprovoked,Western Australia,Scarborough,Surf-skiing,M,unknown,N,unknown,4 m shark
1991.01.00,1/01/1991,1991,Unprovoked,Queensland,Pelican Banks near Gladstone,Surfing (or sailboarding),M,22,N,unknown,2 m shark
1990.11.28,28/11/1990,1990,Unprovoked,Queensland,Nerang River,Swimming ,M,26,N,unknown,1.5 m shark
1990.10.27,27/10/1990,1990,Unprovoked,Queensland,Mermaid Waters,Swimming,M,26,N,20h30,unknown
1990.10.25,25/10/1990,1990,Unprovoked,South Australia,Goolwa Beach,Surfing,M,unknown,N,10h30,unknown
1990.05.10,10/05/1990,1990,Unprovoked,Queensland,Outer Barrier Reef near Port Douglas,Snorkeling,F,30,N,unknown,2 m hammerhead
1990.05.10,10/05/1990,1990,Unprovoked,Queensland,Outer Barrier Reef near Port Douglas,"Snorkeling, possibly holding a fish",M,30,N,unknown,2 m hammerhead
1990.04.09,9/04/1990,1990,Unprovoked,Queensland,Greenmount Beach,Surfing,M,31,N,05h40,"Tiger shark, 3 m "
1990.04.08,8/04/1990,1990,Unprovoked,Queensland,"Dingo Reef, 80 nm off Townsville",Free diving for trochus,M,37,Y,unknown,unknown
1990.04.07,7/04/1990,1990,Unprovoked,Queensland,Fingal Beach,Surfing,M,unknown,N,unknown,3 m shark
1990.04.06,6/04/1990,1990,Unprovoked,Queensland,Fingal Beach,Surfing,M,29,N,unknown,3 m shark
1989.12.03,3/12/1989,1989,Unprovoked,Northern Territory,Gove Peninsula near Darwin,unknown,M,17,unknown,unknown,"Tiger shark, 2m "
1989.12.02,2/12/1989,1989,unknown,Queensland,Fraser Island,Swimming,M,27,Y,unknown,unknown
1989.11.22,22/11/1989,1989,Unprovoked,Victoria,Kilcunda,Surfing,M,32,N,unknown,White shark
1989.11.02,2/11/1989,1989,Unprovoked,Queensland,Mermaid Waters,Swimming in canal,M,10,N,unknown,"2 m shark, possibly a bronze whaler"
1989.10.29.R,29/10/1989,1989,Unprovoked,Northern Territory,Edith Falls,Swimming,F,31,N,unknown,unknown
1989.10.22,22/10/1989,1989,Unprovoked,Tasmania,Shelly Point ,Surfing,M,17,N,14h20,2.7 m [9'] white shark
1989.10.01,1/10/1989,1989,Unprovoked,Victoria,"Surfers Point, Phillip Island",Surfing,M,unknown,unknown,unknown,White shark
1989.08.29,29/08/1989,1989,Provoked,Queensland,SeaWorld Theme Park,Feeding fish,M,30,N,Afternoon,Grey nurse shark
1989.08.13,13/08/1989,1989,Unprovoked,New South Wales,Lennox Head,Surfing,M,17,N,06h30,"Bronze whaler shark, 3 m [10'] "
1989.08.06.R,6/08/1989,1989,Provoked,Queensland,Moreton Bay,Fishing for sharks,M,41,N,unknown,3.5 m white shark
1989.03.09,9/03/1989,1989,Unprovoked,South Australia,"Waitpinga Beach, near Victor Harbor, Encounter Bay",Surfing,M,27,Y,20h15,2 m [6.75'] white shark
1989.03.04,4/03/1989,1989,Boat,Western Australia,Near Broome in Roebuck Bay,Kayaking,M,unknown,N,unknown,"Tiger shark, 3.5 m "
1989.01.03,3/01/1989,1989,Unprovoked,New South Wales,"Half Tide Beach, Evans Head",Surfing with dolphins,M,17,N,17h15,"Tiger shark, 4 m [13'] "
1988.11.08,8/11/1988,1988,Sea Disaster,Queensland,"Off North Keppel Island, off Yeppoon","The Christie V sank on 11/6/1988, survivors were adrift on a dinghy",M,17,Y,Early morning,unknown
1988.11.07,7/11/1988,1988,Sea Disaster,Queensland,"Off North Keppel Island, off Yeppoon","The Christie V sank on 11/6/1988, survivors were adrift on a dinghy",M,62,Y,Nightfall,unknown
1988.10.22,22/10/1988,1988,Unprovoked,Victoria,Phillip Island,Surfing,M,38,N,unknown,7' shark
1988.10.06,6/10/1988,1988,Unprovoked,South Australia,Moama Beach,Surfing,M,15,N,Afternoon,unknown
1988.02.12,12/02/1988,1988,Boat,Western Australia,18 km west of Bunbury,Drift fishing,unknown,unknown,N,unknown,"Mako shark, 3 m [10'], 200-kg [441-lb] "
1988.01.21,21/01/1988,1988,unknown,Torres Strait,unknown,Fell overboard  from the Taiwanese fishing trawler Lien Cheng Feu ,M,unknown,Y,unknown,unknown
1988.00.00.c,10/06/1905,1988,Unprovoked,New South Wales,Sydney,Surfing,M,12,N,unknown,Wobbegong shark
1987.12.13,13/12/1987,1987,unknown,New South Wales,Shoalhaven,unknown,F,17,Y,unknown,"Tiger shark, 4 m, 420-kg, caught 13-Dec-1987"
1987.09.18,18/09/1987,1987,Unprovoked,South Australia,"Merino Rocks, Adelaide",Scuba Diving for scallops,M,47,Y,unknown,White shark
1987.05.06,6/05/1987,1987,Provoked,New South Wales,unknown,Fishing,M,34,N,unknown,unknown
1987.03.30.b,30/03/1987,1987,Unprovoked,Western Australia,Fourth Beach / Twilgth Beach,Surfing,M,18,N,unknown,"Bronze whaler shark, 2 m to 3 m "
1987.01.06,6/01/1987,1987,Unprovoked,Queensland,Lizard Island,Swimming,M,37,N,07h00,unknown
1986.10.01,1/10/1986,1986,Unprovoked,Western Australia,"Direction Island, Cocos Islands",unknown,unknown,unknown,unknown,unknown,unknown
1986.08.03,3/08/1986,1986,Unprovoked,New South Wales,"North Head, Sydney Harbour",Scuba diving,F,unknown,N,unknown,Wobbegong shark
1986.07.26,26/07/1986,1986,Boat,Western Australia,3 km west of Rottnest Island,Fishing,unknown,unknown,N,unknown,Tooth fragment of a white shark recovered. Authorities believed shark was 6 m [20']  total length
1986.05.18,18/05/1986,1986,Unprovoked,New South Wales,"North Head, Sydney Harbour",Scuba diving,M,unknown,N,unknown,Wobbegong shark
1986.02.01,1/02/1986,1986,Unprovoked,Victoria,Jan Juc Beach,Surfing,M,29,N,06j00,"Bronze whaler shark, 3.5 m "
1985.11.11,11/11/1985,1985,Provoked,Queensland,Gladstone,Fishing,M,unknown,N,Afternoon,1m shark
1985.03.03,3/03/1985,1985,Unprovoked,South Australia,"Wiseman’s Beach, Peake Bay, Port Lincoln",Free diving for scallops,F,33,Y,12h30,6 m [20'] white shark
1984.11.30,30/11/1984,1984,Unprovoked,Queensland,1 km off Black's Beach,Sailing on catamaran & fell into the water,M,16,Y,12h33,"Tiger shark, 4 m "
1984.03.01,1/03/1984,1984,Unprovoked,Western Australia,Coral Bay,unknown,unknown,unknown,unknown,unknown,unknown
1984.02.11,11/02/1984,1984,Unprovoked,Queensland,Derwent Island,Spearfishing,M,27,N,unknown,1.5 m white-tipped reef shark
1983.12.24,24/12/1983,1983,Unprovoked,South Australia,"Dangerous Reef, South Neptune Island",Scuba diving for abalone,M,48,N,unknown,12' white shark
1983.07.26,26/07/1983,1983,Sea Disaster,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",Swimming from the New Venture ,F,21,Y,04h00,"Tiger shark, 5 m [16.5']"
1983.07.25.b,25/07/1983,1983,Sea Disaster,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",Swimming from the New Venture ,M,24,Y,Night,"Tiger shark, 5 m [16.5']"
1983.07.25.a,25/07/1983,1983,Sea Disaster,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",14 m prawn trawler New Venture capsized  & sank in heavy seas Three people in the water,M,28,N,Night,"Tiger shark, 5 m [16.5']"
1982.03.07,7/03/1982,1982,Unprovoked,New South Wales,"Tallow Beach, Byron Bay",Surfing,M,20,Y,12h00,unknown
1982.02.28,28/02/1982,1982,Unprovoked,Tasmania,South Cape Bay,Spearfishing,M,32,Y,unknown,5.5 m [18''] white shark
1981.12.13.b,13/12/1981,1981,Unprovoked,Queensland,Green Island,unknown,unknown,unknown,N,unknown,unknown
1981.02.16,16/02/1981,1981,Unprovoked,Western Australia,"Leighton Beach, north of Freemantle",Exercising his dog in the shallows,M,unknown,N,unknown,1 m hammerhead shark
1981.02.07,7/02/1981,1981,Unprovoked,Western Australia,"Parker's Point, Rottnest Island",unknown,unknown,unknown,unknown,unknown,unknown
1981.00.00.b,3/06/1905,1981,Unprovoked,New South Wales,Byron Bay,Surf-skiing,M,27,N,07h00,"Tiger shark, 2.5 m "
1980.11.18,18/11/1980,1980,Unprovoked,Western Australia,Lancelin,Swimming,M,unknown,N,unknown,unknown
1979.09.14,14/09/1979,1979,Unprovoked,New South Wales,Byron Bay,Scuba diving,M,18,N,unknown,"""a small shark"""
1978.12.29,29/12/1978,1978,Unprovoked,Queensland,Bribie Island,unknown,M,unknown,N,unknown,unknown
1978.09.02.R,2/09/1978,1978,Unprovoked,Tasmania,"Cape Pillar, Storm Bay",Scuba diving for abalone,M,34,N,unknown,15' shark
1978.04.00,1/04/1978,1978,Unprovoked,Tasmania,Beechford,Scuba diving,M,unknown,N,unknown,"Sevengill shark, 2.4 m"
1977.08.31,31/08/1977,1977,Unprovoked,South Australia,"Cactus Beach, near Ceduna",Surfing,M,17,N,16h00,White shark
1977.08.23,23/08/1977,1977,Unprovoked,Queensland,"Buddina Beach, south of Noosa",Floating on an inflatable raft,M,25,Y,unknown,unknown
1977.05.16,16/05/1977,1977,unknown,Queensland,Southport,unknown,M,unknown,N,unknown,unknown
1977.04.26,26/04/1977,1977,Unprovoked,Queensland,Tallebudgera,unknown,M,unknown,N,unknown,unknown
1977.03.13.c,13/03/1977,1977,Sea Disaster,Queensland,Near Moreton Island in Moreton Bay,"Their 9 m launch was run down by a 25,000-ton Japanese freighter  on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days",M,32,N,unknown,unknown
1977.03.13.b,13/03/1977,1977,Sea Disaster,Queensland,Near Moreton Island in Moreton Bay,"Their 9 m launch was run down by a 25,000-ton Japanese freighter  on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days",M,74,Y,unknown,unknown
1977.03.13.a,13/03/1977,1977,Sea Disaster,Queensland,Near Moreton Island in Moreton Bay,"Their 9 m launch was run down by a 25,000-ton Japanese freighter  on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days",M,45,Y,unknown,unknown
1977.02.26,26/02/1977,1977,Unprovoked,New South Wales,"Kingscliffe Beach, south of Tweed Heads","Pushed surfmat of a young girl out of the shark's path, drawing shark's attention to his own board",M,24,N,unknown,4 m [13'] shark
1977.02.04,4/02/1977,1977,unknown,Victoria,Sorrento Back Beach,unknown,M,unknown,Y,unknown,unknown
1976.12.29,29/12/1976,1976,Unprovoked,Queensland,Caloundra,unknown,M,unknown,N,unknown,unknown
1976.11.26,26/11/1976,1976,unknown,Queensland,Southport Bar,unknown,unknown,unknown,Y,unknown,unknown
1976.09.19,19/09/1976,1976,Unprovoked,South Australia,"Point Lowly, north of Whyalla","Skindiving,",M,27,N,unknown,2.7 m  [9'] shark
1976.06.01,1/06/1976,1976,Boat,Queensland,Off Stradbroke Island,Sitting in bow of her father's 5 m boat,F,unknown,N,unknown,1.5 m [5'] shark
1976.01.12,12/01/1976,1976,Unprovoked,Queensland,Harvey Bay,unknown,F,unknown,N,unknown,unknown
1975.12.29,29/12/1975,1975,Boat,South Australia,Glenelg,Attempting to drive shark away from the beach,unknown,unknown,N,unknown,2.4 m [8'] shark
1975.12.02,2/12/1975,1975,Provoked,New South Wales,"Porpoise Pool, Tweed Heads",Filming & feeding captive sharks,M,35,N,unknown,"Grey nurse shark, 10' "
1975.11.19.b,19/11/1975,1975,Unprovoked,New South Wales,"Queenscliff, Sydney",Standing,M,20,N,unknown,5' shark
1975.11.07,7/11/1975,1975,Unprovoked,Queensland,Lookout Point,unknown,M,unknown,N,unknown,unknown
1975.10.12,12/10/1975,1975,Unprovoked,New South Wales,"Lennox Head, Ballina",Surfing,M,20,N,unknown,Bronze whaler
1975.07.30.a,30/07/1975,1975,Unprovoked,Tasmania,"Fluted Cape, Bruny Island",Scuba diving for abalone,M,37,Y,Afternoon,White shark
1975.07.26.a,26/07/1975,1975,Unprovoked,Queensland,Maroochydore,Surfing,M,21,N,unknown,12' shark
1975.07.05,5/07/1975,1975,Provoked,Western Australia,"15 km north of Lancelin, north of Perth",Spearfishing,M,29,N,unknown,2.4 m [8'] whaler shark
1975.03.18,18/03/1975,1975,Unprovoked,Queensland,Mornington Island,unknown,F,unknown,N,unknown,unknown
1975.03.13,13/03/1975,1975,Provoked,Queensland,Southport Aquarium,Diving & force-feeding the shark,unknown,18,N,unknown,"Bronze whaler shark, 6'"
1975.02.10,10/02/1975,1975,Unprovoked,South Australia,(Point Sinclair) Penong,Swimming underwater from crayfish cage to a fishing bait,M,12,Y,18h00,"White shark, 3 m [10'] "
1975.02.09,9/02/1975,1975,Unprovoked,Victoria,Anglesea,Crayfishing,M,45,N,unknown,"Carpet shark, 10' "
1975.02.07,7/02/1975,1975,Unprovoked,Queensland,Currumbin Rock,unknown,M,unknown,N,unknown,unknown
1975.01.19,19/01/1975,1975,Unprovoked,South Australia,Coffin Bay,Surfing,M,17,Y,unknown,unknown
1974.12.10,12/12/1974,1974,Unprovoked,Western Australia,Geographe Bay,unknown,unknown,32,N,unknown,unknown
1974.09.01,1/09/1974,1974,Sea Disaster,Queensland,"Junpinpin, off Stradbroke Island",3.3 m fishing boat sank. Treveluwe & Peter Hodgson (wearing lifejackets) were drifting in the current,M,30,N,unknown,unknown
1974.01.09,9/01/1974,1974,Unprovoked,South Australia,Streaky Bay,Diving for abalone,M,26,Y,unknown,White shark
1974.00.00.b,1/12/1974,1974,Unprovoked,Western Australia,Emu Channel,Spearfishing,M,unknown,N,unknown,"Bronze whaler shark, 4' "
1973.11.25,25/11/1973,1973,Unprovoked,Western Australia,Swan River,unknown,unknown,unknown,N,unknown,unknown
1973.11.03,3/11/1973,1973,Unprovoked,Queensland,Gin Arm Creek,unknown,unknown,unknown,N,unknown,unknown
1973.08.27,27/08/1973,1973,Unprovoked,Queensland,Palm Cove Beach,unknown,unknown,21,unknown,unknown,unknown
1973.08.25,25/08/1973,1973,Unprovoked,Queensland,"Point Lookout, Stradbroke Island",Surfing,M,16,N,unknown,12' shark
1973.03.26,26/03/1973,1973,Unprovoked,Queensland,Palm Island,unknown,M,unknown,N,unknown,unknown
1972.12.22,21/12/1972,1972,Unprovoked,Queensland,Currumbin Rock,unknown,M,unknown,N,unknown,unknown
1972.12.08,8/12/1972,1972,Provoked,New South Wales,"Marineland, Sydney",unknown,unknown,24,N,unknown,unknown
1972.10.22,21/10/1972,1972,Unprovoked,Queensland,"Stevens Reef, 70 miles from Mackay",Spearfishing,M,24,N,unknown,unknown
1972.10.21,21/10/1972,1972,Unprovoked,New South Wales,Tabourie Beach,Surfing,M,19,N,unknown,"Bronze whaler shark, 10' "
1972.08.08,8/08/1972,1972,Unprovoked,Tasmania,Tasman Island,Diving for abalone,M,45,N,unknown,"White shark, 10'"
1972.06.26.b,26/06/1972,1972,Unprovoked,Queensland,Pancake Creek,unknown,M,unknown,Y,unknown,unknown
1972.06.26.a,26/06/1972,1972,Unprovoked,Queensland,Pancake Creek,unknown,M,unknown,Y,unknown,unknown
1972.04.01.b,1/04/1972,1972,Unprovoked,Queensland,Wellington Point,unknown,F,unknown,N,unknown,unknown
1972.02.20,20/02/1972,1972,Unprovoked,Victoria,"Wilson's Promontory, Waratah Bay",Surfing,M,18,N,11h00,7' shark
1972.02.12,12/02/1972,1972,Unprovoked,Tasmania,Elliot's Cove,unknown,unknown,unknown,N,unknown,unknown
1971.12.23,23/12/1971,1971,Unprovoked,New South Wales,Smokey Cape,unknown,unknown,22,N,unknown,unknown
1971.12.05,5/12/1971,1971,Unprovoked,Queensland,Gladstone,unknown,M,20,Y,unknown,unknown
1971.11.25.R,27/10/1971,1971,Provoked,New South Wales,"Marineland, Sydney",unknown,unknown,20,N,unknown,unknown
1971.09.05,5/09/1971,1971,Unprovoked,South Australia,Adelaide,Fishing,M,51,Y,unknown,unknown
1971.08.21,21/08/1971,1971,Provoked,New South Wales,"Manly Marineland, Sydney",Scuba diving & feeding fish,M,26,N,13h15,"Grey nurse shark, 11'"
1971.01.02,2/01/1971,1971,Unprovoked,Tasmania,unknown,Swimming,M,unknown,N,16h30,unknown
1971.00.00.c,24/05/1905,1971,Unprovoked,South Australia,Southport,Surfing,M,15,N,unknown,White shark
1970.09.02,2/09/1970,1970,Provoked,New South Wales,"Marineland, Sydney",unknown,M,20,N,unknown,unknown
1969.11.30,30/11/1969,1969,Unprovoked,Western Australia,"Swan River, 13 miles upstream",Swimming,M,15,N,Afternoon,unknown
1969.11.05,5/11/1969,1969,Provoked,New South Wales,"Marineland, Sydney",unknown,M,27,N,unknown,unknown
1969.05.14,14/05/1969,1969,Unprovoked,Queensland,Broomfield Reef,unknown,unknown,unknown,N,unknown,unknown
1969.04.22,22/04/1969,1969,unknown,New South Wales,"Kingscliffe Beach, south of Tweed Heads",Netting pilchards,M,unknown,N,unknown,"Considered a ""Doubtful"" incident"
1969.03.25,25/03/1969,1969,Provoked,New South Wales,Newcastle,unknown,M,65,N,unknown,Mako shark
1969.02.17.R,17/02/1969,1969,Provoked,Tasmania,Taroona,Fishing,M,49,N,Daytime,7-gill shark
1969.02.00,1/02/1969,1969,unknown,Queensland,Cooktown,Hard hat diving,M,52,unknown,unknown,Unconfirmed incident
1969.01.27,27/01/1969,1969,Unprovoked,New South Wales,Beecroft Head,Freediving,M,21,N,07h30,unknown
1969.01.00,1/01/1969,1969,Unprovoked,Victoria,Port MacDonnel,unknown,M,unknown,N,unknown,Carpet shark
1968.12.26,26/12/1968,1968,Provoked,New South Wales,"Marineland Aquarium, Manley, Sydney",Feeding mullet to sharks,M,27,N,Morning,"Grey nurse shark, 10' "
1968.12.09,9/12/1968,1968,Unprovoked,South Australia,Thistle Island,unknown,M,unknown,N,unknown,White shark
1968.11.02,2/11/1968,1968,Provoked,Western Australia,unknown,unknown,M,16,N,15h00,unknown
1968.04.15,15/04/1968,1968,Unprovoked,New South Wales,South Coast,"Diving. Shark “swallowed’ his hand, so he threw his other around the shark and went “shark-back riding” for 30 yards until the shark opened its jaws",M,21,N,unknown,"Bronze whaler shark, 1.8 m [6'] "
1968.04.07,7/04/1968,1968,Provoked,New South Wales,Stockton Bight,unknown,M,47,N,Early morning,"""Blue whaler"" (Galeolamna)"
1968.02.20,20/02/1968,1968,Unprovoked,Western Australia,Swan River,Swimming,F,14,N,Late afternoon,unknown
1968.02.04,4/02/1968,1968,Unprovoked,South Australia,Cape Jervis,Spearfishing,M,26,N,18h30,"Bronze whaler shark, 3 m [10'] "
1968.02.02,2/02/1968,1968,Unprovoked,New South Wales,Brunswick Heads,unknown,unknown,unknown,N,unknown,unknown
1967.12.17,17/12/1967,1967,Unprovoked,Victoria,"Cheviot Beach, Portsea, Port Phillip Bay",Swimming,M,59,Y,A.M.,unknown
1967.11.30.b,30/11/1967,1967,Provoked,New South Wales,Wollongong,Freediving,M,15,N,unknown,Grey nurse shark
1967.11.30.a,30/11/1967,1967,Unprovoked,Queensland,Surfer's Paradise,unknown,M,18,N,unknown,Grey nurse shark
1967.08.19,19/08/1967,1967,Unprovoked,Western Australia,Jurien Bay,"Spearfishing, dived to pick up a float line",M,23,Y,11h00,White shark
1967.08.10,10/08/1967,1967,unknown,New South Wales,Jervis Bay,Anti-sabotage night dive exercise alongside destroyer (Scuba diving),M,19,Y,Night,unknown
1967.05.13,13/05/1967,1967,Provoked,South Australia,Outer Harbor,unknown,M,30,N,Morning,Bronze whaler shark
1967.03.12,12/03/1967,1967,Provoked,Victoria,Geelong,Spearfishing,M,36,N,15h00,Grey nurse shark
1967.03.10,10/03/1967,1967,unknown,New South Wales,"Dover Heights, Sydney",Vehicle plunged over cliff into the water,unknown,unknown,Y,unknown,unknown
1967.01.06,6/01/1967,1967,Provoked,Victoria,Goolwa,Splashing,M,15,N,unknown,"""sand shark"""
1966.12.31,31/12/1966,1966,Unprovoked,Tasmania,"Piccaninny Point, 10 miles from Bicheno",Fishing,M,30,N,unknown,2.1 m [7'] shark
1966.12.27.b,27/12/1966,1966,Provoked,New South Wales,South West Rocks,Spearfishing,M,29,N,unknown,"Grey nurse shark, 1.5 m [5'] "
1966.12.27.a,27/12/1966,1966,Unprovoked,New South Wales,Trial Bay,Spearfishing,M,19,N,unknown,"Grey nurse shark, 1.5 m [5']"
1966.12.26,26/12/1966,1966,Unprovoked,New South Wales,Coogee,Spearfishing,M,29,N,unknown,1.8 m [6'] shark
1966.09.27,27/09/1966,1966,Unprovoked,Queensland,"Broomfield Island, 11 miles from Heron Island on the Great Barrier Reef","Free diving, carrying speargun",M,32,N,16h45,"Bronze whaler shark, 2.1 m [7'], a tooth was embedded in the speargun "
1966.09.18,18/09/1966,1966,unknown,Western Australia,"Little Beach Reef, Bremer Bay",Spearfishing,M,unknown,N,unknown,unknown
1966.09.13,13/09/1966,1966,Provoked,Western Australia,Albany,Spearfishing,M,unknown,unknown,Late afternoon,unknown
1966.09.10,10/09/1966,1966,Unprovoked,Western Australia,Roe Reef off Rottnest Island,Spearfishing,M,43,N,12h00,"Mako shark, 1.9 m [6.5'] "
1966.08.28,28/08/1966,1966,Boat,Northern Territory,Darwin Harbour,unknown,M,unknown,N,unknown,unknown
1966.05.20.c,20/05/1966,1966,Sea Disaster,New South Wales,Jervis Bay,Sinking of the dredge World Atlas,M,40,Y,Night,unknown
1966.05.20.b,20/05/1966,1966,Unprovoked,New South Wales, Bellingen,Fishing,M,unknown,N,01h00,1.8 m [6'] shark
1966.04.00,1/04/1966,1966,Sea Disaster,New South Wales,"Botany Bay, Sydney",Overturned skiff,M,unknown,N,unknown,unknown
1966.03.20,20/03/1966,1966,Provoked,New South Wales,Maroubra,Fishing (big game),unknown,unknown,N,unknown,"Alleged to involve a White shark, 7.6 m [25'] "
1966.02.27,27/02/1966,1966,Unprovoked,New South Wales,Coledale Beach,Treading water,M,13,N,14h00,"White shark, 2.5 m [8.25'], an immature female, previously injured"
1966.01.15,15/01/1966,1966,Unprovoked,New South Wales,Bellambi,Spearfishing,M,30,N,unknown,"Wobbegong shark, 5' "
1966.01.10,10/01/1966,1966,Unprovoked,Western Australia,Woodman Point,Jumped into the water,M,43,N,unknown,76 cm [2.5'] carpet shark
1965.12.28,28/12/1965,1965,Unprovoked,Western Australia,"Bathurst Reef, Rottnest Island","Spearfishing, but standing in knee-deep water",M,40,N,unknown,1.8 m [6'] carpet shark
1965.12.10,10/12/1965,1965,Boat,South Australia,Cape Jervis,Fishing,unknown,unknown,N,10h30,15' shark
1965.11.21.b,21/11/1965,1965,Provoked,Queensland,Near Brisbane,Fishing from 34' boat when pulled overboard by hooked shark,M,43,Y,unknown,4.6 m [15'] shark
1965.11.03.a,3/11/1965,1965,Unprovoked,Queensland,Oak Beach,Surfing,M,24,N,16h30,"Grey nurse shark, 2.4 m [8'] "
1965.01.10,10/01/1965,1965,Unprovoked,Victoria,"East of Station Pier, Port Melbourne",Swimming,M,unknown,N,unknown,1.5 m [5'] shark
1964.12.10.a,10/12/1964,1964,Boat,New South Wales,Port Jervis,Fishing,unknown,unknown,N,10h30,4.6 m [15'] shark
1964.11.29,29/11/1964,1964,Unprovoked,Victoria ,Lady Julia Percy Island,Free diving with seals,M,25,N,14h30,"White shark, 2.4 m [8'] "
1964.11.18,18/11/1964,1964,Unprovoked,Queensland,"Fingal Beach, near Tweed Heads",Swimming out to rescue swimmers in difficulty,M,29,Y,13h30,unknown
1964.11.13,13/11/1964,1964,Provoked,New South Wales,"North Solitary Island, 8 miles from Wolli","Filming underwater, carrying powerhead",M,25,N,unknown,"White shark, 2.7 m [9'1""], 750-lb "
1964.10.04,4/10/1964,1964,Unprovoked,Western Australia,"Avalon Beach, near Mandurah, 50 miles south of Perth","Surfing, but swimming to his board",M,19,N,09h30,"Grey nurse shark, 1.8 m [6']"
1964.03.28.b,28/03/1964,1964,Unprovoked,South Australia,Surfers Paradise Beach near Victor Harbour,Surfing,M,19,N,unknown,1.8 m [6'] shark
1964.02.02,2/02/1964,1964,unknown,Queensland,Brisbane,Swimming,M,23,Y,09h30,unknown
1964.01.18,18/01/1964,1964,Unprovoked,Western Australia,Hamelin Bay,Freediving,M,unknown,N,unknown,Wobbegong
1964.01.01.b,1/01/1964,1964,Unprovoked,Western Australia,Metro coast,unknown,unknown,unknown,unknown,unknown,unknown
1963.12.26.a,26/12/1963,1963,Unprovoked,Queensland,"Figtree Ledge, Hervey Bay",Sitting on gunwale of boat,M,unknown,N,Dawn,"4.3 m [14'], 1000-lb shark"
1963.12.21,21/12/1963,1963,Provoked,New South Wales,"Woolgoolga, Coffs Harbour",Fishing,M,unknown,N,unknown,"Wobbegong shark, 3' "
1963.12.08,8/12/1963,1963,Unprovoked,South Australia,55 miles south of Adelaide,Spearfishing,M,23,N,12h45,White shark
1963.11.14,14/11/1963,1963,Provoked,Queensland,Mermaid Beach,Catching sharks under government contract,M,unknown,N,unknown,"White shark, 15'2"" "
1963.09.13,13/09/1963,1963,Provoked,New South Wales,Wanda Beach,Surfing,M,18,N,09h30,1.5 m [5'] shark
1963.04.22,22/04/1963,1963,Provoked,New South Wales,Clarence Head,Fishing,M,unknown,N,unknown,Grey nurse shark
1963.04.13,13/04/1963,1963,Unprovoked,Western Australia,Yallingup,"Surfing on ""chest board"" (boogie board?)",M,25,N,unknown,1.8 m to 2.4 m  [6' to 8'] shark
1963.02.24,24/02/1963,1963,Unprovoked,New South Wales,Wombarra Beach near Austinmeer,Spearfishing,M,18,N,Afternoon,"Bronze whaler shark, 3 m [10'] "
1963.01.28,28/01/1963,1963,Unprovoked,New South Wales,"Sugarloaf Bay, Middle Harbour, Sydney",Wading,F,32,Y,13h30,"Tooth fragments of “whaler” shark were recovered, a bull shark, according to Edwards"
1963.01.26,26/01/1963,1963,unknown,New South Wales,Evans Head,Swimming,M,25,Y,16h30,unknown
1963.01.04,4/01/1963,1963,Provoked,South Australia,Off Franklin Island between Streaky Bay & Ceduna,Shark fishing,unknown,unknown,N,unknown,"White shark, 16', 2,312-lb "
1962.12.09,9/12/1962,1962,Unprovoked,South Australia,Carrickalinga Head,Spearfishing,M,16,Y,14h30,"White shark, 4.3 m [14'] (or bronze whaler)"
1962.11.29,29/11/1962,1962,Unprovoked,New South Wales,Sydney,"Spearfishing, Scuba diving",M,26,N,unknown,3 m [10'] shark
1962.11.25,25/11/1962,1962,unknown,Queensland,Townsville,unknown,M,unknown,Y,unknown,unknown
1962.11.10,10/11/1962,1962,Boat,New South Wales,Off Kisma,Fishing,unknown,unknown,N,unknown,3 m [10'] blue whaler
